ABESID	IDP
ABESJRSDJ5HMX	https://idp-ubx.u-bordeaux.fr/idp/shibboleth
ABES7OQ2HBKJU	https://shibboleth.ube.fr/idp/shibboleth
ABES6RWFVV3PK	https://federation3.univ-brest.fr/idp/shibboleth
ABESAXR5PCFZT	urn:mace:cru.fr:federation:univ-ubs.fr
ABES4GJIJL6KH	https://idp4.unicaen.fr/idp/shibboleth
ABES3ZFJBHFV2	https://shibboleth.univ-corse.fr/idp/shibboleth
ABES84H5X47X1	https://idp1.univ-fcomte.fr/idp/shibboleth
ABES4LY86X9XN	https://idp-univ-guyane.renater.fr/idp/shibboleth
ABES65B8TB3ZE	https://idp.uha.fr/idp/shibboleth
ABES5TAB0B2CQ	https://shib2.unc.nc/idp/shibboleth
ABES6HM5FY88M	https://federation.upf.pf/idp/shibboleth
ABES2JOFTGCID	https://id.univ-reunion.fr/idp/shibboleth
ABES5U8CVCA9J	https://apps.univ-lr.fr/idp/shibboleth
ABES2PW71U8OR	https://idp.univ-lille.fr/idp/shibboleth
ABES2QUI6X6T6	urn:mace:cru.fr:federation:unilim.fr
ABES2LC9J8H32	https://idp3.univ-lorraine.fr/idp/shibboleth
ABESHRT3HM5Q8	https://federation.umontpellier.fr/idp/shibboleth
ABESEKFVK6FZ6	urn:mace:cru.fr:federation:univ-nantes.fr
ABESIBPFQT2JN	https://federation.unimes.fr/idp/shibboleth
ABES7T27PECMK	https://idp.univ-pau.fr/idp/shibboleth
ABESADN2TN9X8	https://idp.univ-perp.fr/idp/shibboleth
ABES8TY6DE9I6	https://idp.u-picardie.fr/idp/shibboleth
ABESG6EKNCBCY	http://idp.univ-poitiers.fr 
ABES6YBI3TM4W	https://identite.univ-reims.fr/idp/shibboleth
ABESDCVFZQ8OV	urn:mace:cru.fr:federation:univ-rennes1.fr
ABESEZHIJDA9Z	urn:mace:cru.fr:federation:univ-rouen.fr
ABESI3IGUJKRP	https://idp.unistra.fr/idp/shibboleth
ABESIO16H7ELN	https://federation.utbm.fr/idp/shibboleth
ABESI2YG7L4NA	urn:mace:cru.fr:federation:utc.fr
ABES2DOIRE2DF	https://shibboleth3.utt.fr/idp/shibboleth
ABESCJCKDIKG4	https://idp.univ-tln.fr/idp/shibboleth
ABES1DT9EP6P7	https://idp.univ-tours.fr/idp/shibboleth
ABESCECD55NG4	https://shibboleth.csi.uvsq.fr/idp/shibboleth
ABES9XHCOF84F	https://idp.univ-antilles.fr/idp/shibboleth
ABESLXBGZIRA4	https://shib.univ-lehavre.fr/idp/shibboleth
ABESIBH84X9FT	urn:mace:cru.fr:federation:univ-littoral.fr
ABES5PU2YK4QT	https://identification.univ-toulouse.fr
ABES9WN9X8EE9	https://shibboleth.univ-grenoble-alpes.fr/idp/shibboleth
ABESEUB7NA4SI	https://idp.univ-eiffel.fr/idp/shibboleth
ABESA1T7JY7RL	https://idp-ng.univ-st-etienne.fr/idp/shibboleth
ABESI3FB56F7K	https://idp.univ-lyon3.fr/idp/shibboleth
ABES9SZHAKCRD	https://idp.univ-lyon2.fr/idp/shibboleth
ABES81VKFE2DI	urn:mace:cru.fr:federation:univ-paris1.fr
ABES70BF7ZEYH	https://idp.univ-paris3.fr/idp/shibboleth
ABESH5C8WV3OS	https://idp2.univ-paris8.fr/idp/shibboleth
ABES90Y7NHCR4	https://auth.u-paris.fr/idp/shibboleth
ABES5LK2FT7SY	https://idp.ent.dauphine.fr/idp/shibboleth
ABES4U62VTHAM	https://shibboleth.univ-paris-est.fr/idp/shibboleth
ABESGRJJ3UF2Z	https://auth.u-pec.fr/idp/shibboleth
ABES84V7YN5B7	https://upnidp2.parisnanterre.fr/idp/shibboleth
ABESGGGI5N4SG	https://idp.universite-paris-saclay.fr/idp
ABESCRC1V095S	https://idp.psl.eu/idp/saml2/metadata
ABES9WYIJACD3	https://idp.univ-tlse3.fr/idp/shibboleth
ABESI635XG1P6	https://idp-v4.univ-montp3.fr/idp/shibboleth
ABES3LTYU4XL4	https://idp.uphf.fr/idp/shibboleth
ABESF4RBHW4SY	urn:mace:cru.fr:federation:uhb.fr
ABES3OF4BUB0Y	https://shibboleth.univ-savoie.fr/idp/shibboleth
ABESH0B2ZCGBD	https://idp.univ-paris13.fr/idp/shibboleth
ABES2IJ1Q7DNC	https://idp3.ut-capitole.fr/idp/shibboleth
ABESF3PEBJ3TL	https://ruhnu.univ-tlse2.fr/idp/shibboleth
ABESDE6W2DJ4L	https://papangue.vetagro-sup.fr/idp/shibboleth
