id_abes	IDP
ABESA9IDNH3UQ	https://ea-idp-01.ecole-air-espace.fr/idp/shibboleth
ABESHZ5HV62QA	
ABESJMFIOBGZQ	https://sts.windows.net/dffef3d7-143e-41ed-815d-9c383c48eb95/
ABES9113YECFL	
ABESCOO3YT8Q1	https://idp-ecoledulouvre.renater.fr/idp/shibboleth
ABESH3BHR3H1O	https://idp.enib.fr/idp/shibboleth
ABES4CI2HM7KB	
ABES9A82OP9SN	https://shibboleth03.chartes.psl.eu/idp/shibboleth
ABESEM8CZR6W4	
ABES9W492M91O	
ABESDES1X1JIR	https://tamana.msh-paris.fr/idp/shibboleth
ABES5T371LDR6	
ABES5G7HGH3Z2	https://idp.rennes.archi.fr/idp/shibboleth
ABESHC3IO92OR	https://idp.paris-malaquais.archi.fr/idp/shibboleth
ABES5TEEBNHBM	https://idp.st-etienne.archi.fr/idp/shibboleth
ABES8ELIFC7WA	
ABES4Z98DKVA4	
ABESBGS6524OG	
ABES6Y4HT3HEA	https://idp.enscm.fr/idp/shibboleth
ABESCYAEWSDJN	
ABESCHJ4C2HBX	
ABESA6B5WHFAF	
ABES3MT6EXCLU	
ABES5TNB2GIJU	https://shibboleth.ens2m.fr/idp/shibboleth
ABESHXLGJYI7B	https://idp-ensad.renater.fr/idp/shibboleth
ABES4PD7LP71Y	
ABESI6QJB9DNQ	
ABES3YW9ILHFV	
ABESBDX5TX7WU	
ABES2JXKJD3CB	
ABESCAZ9HC750	
ABES9923HH7PQ	
ABES4XIHBY91Q	
ABESH3C2PA8PQ	
ABESHYK7TB8OY	
ABESC4GIDOGVF	
ABESJNP5LX6KZ	
ABES4LJHFAJIN	
ABES90MCFSGGC	
ABES7TM3BYCDP	
ABESDRVILFVR4	https://idp.universcience.fr/idp
ABESC9KHEP3KQ	https://federation.ined.fr/idp/shibboleth
ABES5Y4FY8HVP	https://auth.agrosupdijon.fr/idp/shibboleth
ABESFYV6WJB0P	
ABES7GU9ZU9LD	
ABES4XN9FR1MW	
ABESG1G4RU2LH	
ABES2GN8NQAA2	
ABES95VHC3EMQ	
ABES8YP1HEKBI	
ABES28HEW3HHC	
ABES7OT8HD5G7	
ABESGBDFTIAWA	
ABES7O81619TV	
ABESH7U3WIIBR	
ABESDNHDS9EC6	
ABESG7NCR5B5D	
ABESA12EXXINC	
ABES4PIF7Y2IT	
ABES3I3GGVFRC	https://idp.inalco.fr/idp/shibboleth
ABES5Z94KLCPR	
ABES9029AN4NR	
ABESH3E2Z14F8	
ABES6PRKERH3G	
ABESLMEEQ9R74	
ABES2XHDYY86Y	
ABESFUYGNJCUF	
ABES3KLENL70A	
ABES3TI7OVHRS	
ABES6XNFN8NE4	
ABES5PLVMKAZ6	
ABES3EM5QO8L5	
ABESC8I1KZEU9	
ABESC7LA1VHAK	
